timestamp_sec,module_id,range_m,self_range_error
155.903383,101.0,6.518,0.055
155.92441,102.0,13.262,0.055
155.946327,103.0,7.45,0.055
155.967347,100.0,12.348,0.055
156.000528,102.0,13.209,0.024
156.021563,103.0,7.371,0.055
156.0426,100.0,12.369,0.055
156.063621,101.0,6.672,0.024
156.084626,102.0,13.17,0.055
156.105656,103.0,7.319,0.055
156.126666,100.0,12.397,0.055
156.147703,101.0,6.723,0.055
156.170124,102.0,13.14,0.024
156.191166,103.0,7.233,0.055
156.212195,100.0,12.436,0.055
156.233232,101.0,6.785,0.024
156.254289,102.0,13.101,0.024
156.275485,103.0,7.157,0.024
156.297958,100.0,12.465,0.055
156.318961,101.0,6.856,0.055
156.340031,102.0,13.038,0.055
156.361384,103.0,7.09,0.055
156.382415,100.0,12.495,0.024
156.403446,101.0,6.921,0.024
156.42588,102.0,13.006,0.055
156.44692,103.0,7.028,0.055
156.46795,100.0,12.544,0.055
156.48991,101.0,6.989,0.024
156.510964,102.0,12.967,0.055
156.532098,103.0,6.947,0.055
156.553839,100.0,12.579,0.055
156.574887,101.0,7.069,0.024
156.595917,102.0,12.905,0.055
156.618309,103.0,6.878,0.055
156.639317,100.0,12.596,0.055
156.660356,101.0,7.134,0.024
156.681535,102.0,12.868,0.024
156.702546,103.0,6.794,0.055
156.723562,100.0,12.629,0.055
156.745163,101.0,7.209,0.055
156.766168,102.0,12.827,0.055
156.787212,103.0,6.742,0.055
156.812012,100.0,12.674,0.055
156.833032,101.0,7.29,0.055
156.854036,102.0,12.787,0.055
156.87505,103.0,6.674,0.055
156.896037,100.0,12.716,0.024
156.917044,101.0,7.358,0.055
156.938049,102.0,12.744,0.055
156.959103,103.0,6.603,0.055
156.980148,100.0,12.748,0.055
157.001613,101.0,7.442,0.055
157.022621,102.0,12.712,0.024
157.043648,103.0,6.53,0.055
157.065694,100.0,12.798,0.024
157.086747,101.0,7.51,0.055
157.1078,102.0,12.663,0.055
157.129917,103.0,6.468,0.055
157.150982,100.0,12.836,0.055
157.172022,101.0,7.582,0.055
157.193047,102.0,12.626,0.024
157.214134,103.0,6.388,0.024
157.235146,100.0,12.879,0.055
157.257316,101.0,7.677,0.055
157.278336,102.0,12.597,0.055
157.299356,103.0,6.313,0.055
157.321288,100.0,12.929,0.055
157.342302,101.0,7.759,0.024
157.508146,103.0,6.145,0.055
157.529171,100.0,13.041,0.055
157.550246,101.0,7.941,0.024
157.57128,102.0,12.471,0.055
157.604803,100.0,13.078,0.055
157.625788,101.0,8.011,0.024
157.646791,102.0,12.435,0.055
157.667807,103.0,6.01,0.055
157.688826,100.0,13.143,0.024
157.709866,101.0,8.081,0.055
157.73088,102.0,12.408,0.024
157.751923,103.0,5.963,0.055
157.772955,100.0,13.194,0.055
157.793973,101.0,8.163,0.055
157.815011,102.0,12.388,0.055
157.836028,103.0,5.878,0.055
157.857045,100.0,13.242,0.055
157.878104,101.0,8.242,0.024
157.911728,103.0,5.811,0.024
157.932746,100.0,13.312,0.055
157.954149,101.0,8.316,0.024
157.975211,102.0,12.341,0.055
157.996248,103.0,5.739,0.055
158.017297,100.0,13.346,0.055
158.050987,102.0,12.308,0.055
158.072053,103.0,5.689,0.024
158.093083,100.0,13.389,0.024
158.11462,101.0,8.461,0.024
158.135667,102.0,12.271,0.024
158.156695,103.0,5.621,0.055
158.177982,100.0,13.441,0.055
158.198998,101.0,8.531,0.055
158.220015,102.0,12.241,0.055
158.241102,103.0,5.565,0.055
158.262114,100.0,13.478,0.055
158.284456,101.0,8.608,0.024
158.305489,102.0,12.223,0.055
158.326491,103.0,5.473,0.024
158.347526,100.0,13.531,0.024
158.368549,101.0,8.673,0.024
158.389575,102.0,12.191,0.055
158.410633,103.0,5.419,0.055
158.431674,100.0,13.58,0.055
158.45269,101.0,8.754,0.024
158.474367,102.0,12.165,0.055
158.496105,103.0,5.355,0.024
158.517123,100.0,13.631,0.055
158.538262,101.0,8.842,0.055
158.559289,102.0,12.144,0.055
158.580292,103.0,5.275,0.024
158.601569,100.0,13.691,0.055
158.622599,101.0,8.887,0.055
158.643634,102.0,12.129,0.055
158.665643,103.0,5.237,0.055
158.686665,100.0,13.745,0.055
158.707665,101.0,8.964,0.055
158.729938,102.0,12.097,0.055
158.750985,103.0,5.176,0.055
158.772028,100.0,13.773,0.055
158.793046,101.0,9.01,0.024
158.814159,102.0,12.085,0.055
158.835199,103.0,5.133,0.055
158.856935,100.0,13.802,0.055
158.877944,101.0,9.065,0.055
158.898937,102.0,12.068,0.055
158.921471,103.0,5.096,0.055
158.942494,100.0,13.84,0.055
158.963511,101.0,9.111,0.055
158.984526,102.0,12.039,0.055
159.005541,103.0,5.066,0.024
159.026548,100.0,13.852,0.055
159.04879,101.0,9.129,0.055
159.069826,102.0,12.046,0.024
159.090891,103.0,5.024,0.055
159.111957,100.0,13.886,0.024
159.13299,101.0,9.158,0.024
159.154042,102.0,12.052,0.055
159.175042,103.0,5.007,0.055
159.196084,100.0,13.901,0.024
159.217124,101.0,9.17,0.055
159.238173,102.0,12.041,0.055
159.25922,103.0,4.985,0.055
159.28025,100.0,13.912,0.055
159.301284,101.0,9.185,0.055
159.322306,102.0,12.038,0.055
159.343321,103.0,4.962,0.024
159.364343,100.0,13.921,0.055
159.385361,101.0,9.198,0.024
159.406372,102.0,12.037,0.055
159.427399,103.0,4.954,0.024
159.448453,100.0,13.925,0.055
159.469479,101.0,9.192,0.055
159.490533,102.0,12.047,0.055
159.511601,103.0,4.939,0.055
159.532626,100.0,13.943,0.055
159.553648,101.0,9.195,0.024
159.574662,102.0,12.049,0.055
159.607827,100.0,13.939,0.055
